comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-01-normal-16,entity-01-normal,16,0xc671e5c245ad23057aacad52a28d4f3b249258f388374e99db32486dd09779ae,,,90,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-16,entity-02-normal,16,0xeb4935aa1a18a6666383e45bf6f88d17f7b33d86b1cc423e200fd8b3f56a7283,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-16,entity-03-normal,16,0xad27cc9b16c88a930c31554e7043b66b67c2679be573e1d3531b64a9edbcf823,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-16,entity-04-normal,16,0xcfbd3ffecabe6ef43898e012629b3be8cc725da199f5bb17059aff96d3005aff,,,90,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-16,entity-05-suspicious,16,0xa5c921fa1e871d8adef86acc64ec79ecce3a1da4c5254a253616cf7439dcd930,,,64,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-16,entity-06-suspicious,16,0x433e9bea600563eb88c68e464ff8345ec5c627d9bed56179bf58e22a445653e1,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-17,entity-01-normal,17,0x57cf6840e399f17efc67935a4768dbb9f56875406b21d7f869a928ec2dbc71b6,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-17,entity-02-normal,17,0x9569edaaf1dbbb04d926a3944520ea0b0b80afcae268da9753d4f31a0a497917,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-17,entity-03-normal,17,0x6efceaf6731b649cb9a8c49d6959635e1fddaa82fc7bd4ebdb79ff409caf9f5d,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-17,entity-04-normal,17,0xb3eb7696e1497cb5ec849abb0dd372e84132f0323ce1947c265da5b0e823ccfb,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-17,entity-05-suspicious,17,0x2788587c7b550f87561903b4797984b4436fbdeefaf0dc105ade6cc8f7225862,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-17,entity-06-suspicious,17,0x5aabc32eda8f925adb6fc5a1bf75f6dc739ce49e07468bc82495959123e55122,,,58,Suspicious,,,true,,,,B live result matches expected state
