comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-06-suspicious-11,entity-06-suspicious,11,0x72e71f1b0206a2091ef4239b5957f8f56830ed00d6b2028fbddb4058310b2733,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-11,entity-07-suspicious,11,0x08ad0e16d3d750394a6e09d48abf988409c6c62980eb684bf4a6b95c44ba6240,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-11,entity-08-malicious,11,0x8a0e62bea46d818f0ac4ad6ae2ae582ccdd16def9ad7cd078f075707b6ea6583,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-11,entity-09-malicious,11,0x21263a8b91e93da12626911f0cee4720d68c61bee4dceaacae1191e53f816d2e,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-11,entity-10-malicious,11,0x9984d289e34fea665f318b3ad7c031862b694becdd2ed8d308a80693e9484e36,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-12,entity-01-normal,12,0xeb8cc030c55df678fbf8f6cec3ee07ad2224cc2eaf954a9722ea06127629c5ae,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-12,entity-02-normal,12,0xd8cf3a2dde94d302cd36496931d2ecadc4ddc2e79e81a918f1d5cfd44c06202b,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-12,entity-03-normal,12,0x2f4650e420f8ec7231905c162759a5aafc43f5df01cb9c6fbaa10d2d34157ea2,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-12,entity-04-normal,12,0xf3e90d7a1cc8021c0c9f1a4ff4a47597460642092f4ee6cf785cc85e65f07d37,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-12,entity-05-suspicious,12,0xfac4fd2cec1af0cce8740f03b0a88f609e66e08f218b061e80457dfdc9e4e63f,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-12,entity-06-suspicious,12,0xe62efb5e958fdbeafd6768eac955a33fcb8e417ce23a49e51ef68c1942760bc7,62,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-12,entity-07-suspicious,12,0x01dae6679e2df05cada8d1947dc4e5a4c3c5a0c74201458a361f56059e2496cb,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-12,entity-08-malicious,12,0x610a8563242eb8069e25aafea6c15e82f52308fa93bfc0cff6da800957468a45,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-12,entity-09-malicious,12,0xbb12aa329e75c9cc30453cd8601e06428a0dd3151f6f4896c4060db5b0e9ca26,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-12,entity-10-malicious,12,0x0b55ccb04b7d7d6d16f88e66e52fe20db6e2c2f42346e735bbfd9313b9c7a18c,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-13,entity-01-normal,13,0x218df87c4cc4764ee612ecc7b365f90df772faa12f88ff0e68fe3b786eb8ce14,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-13,entity-02-normal,13,0x78a9b6e254523cf272b4d2138b8090da0b6cecb0cb41b95917d76603e1eef710,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-13,entity-03-normal,13,0xa8eb836b2cd4ac670b223626cbe063afa6e72e694cafc94c764294360e222e2c,93,Trusted,,,,,true,,,,A live result matches expected state
